{key: "s", note: "C4", time :0}, 
{key: "d", note: "D4", time :596}, 
{key: "f", note: "D#4", time :1133}, 
{key: "g", note: "F4", time :1657}, 
{key: "h", note: "G4", time :2182}, 
{key: "j", note: "G#4", time :2664}, 
{key: "k", note: "A#4", time :3086}, 
{key: "l", note: "C5", time :3439}, 
{key: "1", note: "C1", time :3979}, 
{key: "2", note: "D1", time :4351}, 
{key: "3", note: "D#1", time :4765}, 
{key: "4", note: "F1", time :5162}, 
{key: "5", note: "G1", time :5578}, 
{key: "6", note: "G#1", time :5934}, 
{key: "7", note: "A#1", time :6153}, 
{key: "8", note: "C2", time :6584}, 
{key: "9", note: "D2", time :6984}, 
{key: "0", note: "D#2", time :7379}, 
{key: "q", note: "F2", time :8100}, 
{key: "w", note: "G2", time :8473}, 
{key: "e", note: "G#2", time :8823}, 
{key: "r", note: "A#2", time :9150}, 
{key: "t", note: "C3", time :9498}, 
{key: "y", note: "D3", time :9860}, 
