{key: "1", note: "C0", time :0}, 
{key: "2", note: "D0", time :644}, 
{key: "3", note: "D#0", time :1094}, 
{key: "4", note: "F0", time :1509}, 
{key: "5", note: "G0", time :1927}, 
{key: "6", note: "G#0", time :2381}, 
{key: "7", note: "A#0", time :2825}, 
{key: "8", note: "C1", time :3207}, 
{key: "9", note: "D1", time :3549}, 
{key: "0", note: "D#1", time :3831}, 
{key: "q", note: "F1", time :4686}, 
{key: "w", note: "G1", time :4932}, 
{key: "e", note: "G#1", time :5033}, 
{key: "r", note: "A#1", time :5311}, 
{key: "t", note: "C2", time :5615}, 
{key: "y", note: "D2", time :5900}, 
{key: "u", note: "D#2", time :6153}, 
{key: "i", note: "F2", time :6435}, 
{key: "o", note: "G2", time :6671}, 
{key: "p", note: "G#2", time :6889}, 
{key: "a", note: "A#2", time :7475}, 
{key: "s", note: "C3", time :7713}, 
{key: "d", note: "D3", time :7880}, 
{key: "f", note: "D#3", time :8092}, 
{key: "g", note: "F3", time :8361}, 
{key: "h", note: "G3", time :8614}, 
{key: "j", note: "G#3", time :8857}, 
{key: "k", note: "A#3", time :9092}, 
{key: "l", note: "C4", time :9300}, 
{key: "z", note: "D4", time :9737}, 
{key: "x", note: "D#4", time :10005}, 
{key: "c", note: "F4", time :10133}, 
{key: "v", note: "G4", time :10259}, 
{key: "b", note: "G#4", time :10498}, 
{key: "n", note: "A#4", time :10714}, 
{key: "m", note: "C5", time :10922}, 
