{key: "a", note: "B2", time :0}, 
{key: "s", note: "C3", time :609}, 
{key: "s", note: "C3", time :10574}, 
{key: "d", note: "D3", time :10907}, 
{key: "f", note: "E3", time :11093}, 
{key: "s", note: "C3", time :11264}, 
{key: "d", note: "D3", time :11435}, 
{key: "f", note: "E3", time :11616}, 
{key: "s", note: "C3", time :11778}, 
{key: "d", note: "D3", time :11928}, 
{key: "f", note: "E3", time :12040}, 
{key: "s", note: "C3", time :14628}, 
{key: "s", note: "C3", time :15690}, 
{key: "s", note: "C3", time :16899}, 
